
                  X              U2_1D5N50F        U2_1D10N50F        U2_1D15N50F        U2_1D20N50F        U2_1D25N50F        U2_1D30N50F        U2_1D35N50F        U2_1D40N50F   

                0.                 1.46135E-36        2.92271E-36        4.38406E-36        5.84541E-36        7.30676E-36        8.76812E-36       10.2295E-36        11.6908E-36 
               11.25               6.20819E-03       12.4164E-03        18.6246E-03        24.8328E-03        31.0409E-03        37.2491E-03        43.4573E-03        49.6655E-03 
               22.5               12.1559E-03        24.3118E-03        36.4677E-03        48.6236E-03        60.7795E-03        72.9354E-03        85.0913E-03        97.2472E-03 
               33.75              17.5826E-03        35.1653E-03        52.7479E-03        70.3305E-03        87.9132E-03       105.496E-03        123.078E-03        140.661E-03  
               45.                22.2279E-03        44.4558E-03        66.6838E-03        88.9117E-03       111.14E-03         133.368E-03        155.595E-03        177.823E-03  
               56.25              25.8313E-03        51.6626E-03        77.4938E-03       103.325E-03        129.156E-03        154.988E-03        180.819E-03        206.65E-03   
               67.5               28.1322E-03        56.2644E-03        84.3966E-03       112.529E-03        140.661E-03        168.793E-03        196.926E-03        225.058E-03  
               78.75              28.8703E-03        57.7405E-03        86.6108E-03       115.481E-03        144.351E-03        173.222E-03        202.092E-03        230.962E-03  
               90.                27.7849E-03        55.5698E-03        83.3547E-03       111.14E-03         138.925E-03        166.709E-03        194.494E-03        222.279E-03  
              101.25              24.6157E-03        49.2314E-03        73.8471E-03        98.4628E-03       123.078E-03        147.694E-03        172.31E-03         196.926E-03  
              112.5               19.1021E-03        38.2042E-03        57.3064E-03        76.4085E-03        95.5106E-03       114.613E-03        133.715E-03        152.817E-03  
              123.75              10.9837E-03        21.9674E-03        32.9512E-03        43.9349E-03        54.9186E-03        65.9023E-03        76.886E-03         87.8698E-03 
              135.                -3.15972E-36       -6.31944E-36       -9.47917E-36      -12.6389E-36       -15.7986E-36       -18.9583E-36       -22.1181E-36       -25.2778E-36 
              146.               -13.6724E-03       -27.3448E-03       -41.0172E-03       -54.6896E-03       -68.362E-03        -82.0344E-03       -95.7068E-03      -109.379E-03  
              157.               -30.0502E-03       -60.1005E-03       -90.1507E-03      -120.201E-03       -150.251E-03       -180.301E-03       -210.352E-03       -240.402E-03  
              168.               -48.8505E-03       -97.701E-03       -146.551E-03       -195.402E-03       -244.252E-03       -293.103E-03       -341.953E-03       -390.804E-03  
              179.               -69.7902E-03      -139.58E-03        -209.371E-03       -279.161E-03       -348.951E-03       -418.741E-03       -488.531E-03       -558.322E-03  
              190.               -92.5863E-03      -185.173E-03       -277.759E-03       -370.345E-03       -462.932E-03       -555.518E-03       -648.104E-03       -740.691E-03  
              201.              -116.956E-03       -233.912E-03       -350.868E-03       -467.824E-03       -584.78E-03        -701.736E-03       -818.691E-03       -935.647E-03  
              212.              -142.616E-03       -285.232E-03       -427.848E-03       -570.464E-03       -713.08E-03        -855.696E-03       -998.312E-03         -1.14093    
              223.              -169.283E-03       -338.567E-03       -507.85E-03        -677.134E-03       -846.417E-03         -1.0157            -1.18498           -1.35427    
              234.              -196.675E-03       -393.351E-03       -590.026E-03       -786.702E-03       -983.377E-03         -1.18005           -1.37673           -1.5734     
              245.              -224.509E-03       -449.018E-03       -673.527E-03       -898.036E-03         -1.12254           -1.34705           -1.57156           -1.79607    
              256.              -252.501E-03       -505.002E-03       -757.502E-03         -1.01              -1.2625            -1.515             -1.76751           -2.02001    
              267.              -280.368E-03       -560.736E-03       -841.105E-03         -1.12147           -1.40184           -1.68221           -1.96258           -2.24295    
              278.              -307.828E-03       -615.656E-03       -923.484E-03         -1.23131           -1.53914           -1.84697           -2.1548            -2.46262    
              289.              -334.597E-03       -669.195E-03         -1.00379           -1.33839           -1.67299           -2.00758           -2.34218           -2.67678    
              300.              -360.393E-03       -720.787E-03         -1.08118           -1.44157           -1.80197           -2.16236           -2.52275           -2.88315    
              311.              -384.933E-03       -769.865E-03         -1.1548            -1.53973           -1.92466           -2.3096            -2.69453           -3.07946    
              322.              -407.933E-03       -815.865E-03         -1.2238            -1.63173           -2.03966           -2.4476            -2.85553           -3.26346    
              333.              -429.11E-03        -858.22E-03          -1.28733           -1.71644           -2.14555           -2.57466           -3.00377           -3.43288    
              344.              -448.182E-03       -896.364E-03         -1.34455           -1.79273           -2.24091           -2.68909           -3.13727           -3.58546    
              355.              -464.865E-03       -929.731E-03         -1.3946            -1.85946           -2.32433           -2.78919           -3.25406           -3.71892    
              366.              -478.877E-03       -957.755E-03         -1.43663           -1.91551           -2.39439           -2.87326           -3.35214           -3.83102    
              377.              -489.935E-03       -979.87E-03          -1.4698            -1.95974           -2.44967           -2.93961           -3.42954           -3.91948    
              388.              -497.755E-03       -995.51E-03          -1.49327           -1.99102           -2.48878           -2.98653           -3.48429           -3.98204    
              399.              -502.055E-03         -1.00411           -1.50616           -2.00822           -2.51027           -3.01233           -3.51438           -4.01644    
              410.              -502.551E-03         -1.0051            -1.50765           -2.0102            -2.51275           -3.01531           -3.51786           -4.02041    
              421.              -498.961E-03       -997.921E-03         -1.49688           -1.99584           -2.4948            -2.99376           -3.49272           -3.99168    
              432.              -491.001E-03       -982.002E-03         -1.473             -1.964             -2.455             -2.94601           -3.43701           -3.92801    
              443.              -478.389E-03       -956.778E-03         -1.43517           -1.91356           -2.39194           -2.87033           -3.34872           -3.82711    
